Time;U_t;V_t
2.79;-0.5272958645511467;-2.1229455548510043
2.8000000000000003;-0.5458168507155993;-1.5785270551771267
2.81;-0.5588211713987037;-1.020541253776738
2.82;-0.5662011750669718;-0.4546063933776256
2.83;-0.5679057227279477;0.11360245459893328
2.84;-0.5639404723759329;0.6784102013161948
2.85;-0.5543675995354761;1.234198320423522
2.86;-0.5393049473474074;1.7754606591005035
2.87;-0.518924630822111;2.2968578918214195
2.88;-0.4934511059578595;2.7932700988701518
2.89;-0.4631587186586507;3.259846938330573
2.9;-0.42836877281584806;3.6920549419885096
2.91;-0.3894461389078613;4.085721462236209
2.92;-0.3467954377635957;4.437074810540024
2.93;-0.3008568542452522;4.742780317584182
2.94;-0.2521016000078897;4.999971801545045
2.95;-0.20102709291248907;5.206278290525822
2.96;-0.14815189188222128;5.359845689843138
2.97;-0.09401044136148465;5.4593532065674815
2.98;-0.03914767905705757;5.504024388613141
2.99;0.01588643988544009;5.49363269523387
3.0;0.07054244700176973;5.428501560991507
3.0100000000000002;0.12427683767883893;5.3094989754645425
3.02;0.1765574638344838;5.138026661197873
3.0300000000000002;0.22686880659105466;4.916003946176563
3.04;0.2747170354726293;4.645846573940458
3.0500000000000003;0.3196348541142404;4.330440633471347
3.06;0.36118605342726956;3.973111897750278
3.0700000000000003;0.3989697369845493;3.5775908967461234
3.08;0.43262417723742075;3.1479741108055506
3.09;0.4618302649308348;2.688681671529642
3.1;0.4863145231044549;2.204411980288685
3.11;0.5058516516535816;1.700093744698694
3.12;0.5202665815754997;1.1808359012291958
3.13;0.5294360193648134;0.6518759623025283
3.14;0.5332894689334052;0.11852731452558855
3.15;0.5318097262680045;-0.41387411703170346
3.16;0.5250328371789365;-0.940023164671949
3.17;0.5130475250249027;-1.4546981784655535
3.18;0.4959940960243657;-1.9528127723492728
3.19;0.47406283402060767;-2.429465999929255
3.2;0.4474919033684157;-2.8799904906663687
3.21;0.4165647832357632;-3.2999980476164086
3.22;0.38160726012319446;-3.685422297543657
3.23;0.34298400684345354;-4.0325579198132955
3.24;0.30109480569299274;-4.33809630570366
3.25;0.2563703960027979;-4.599156737691624
3.2600000000000002;0.20926807345194093;-4.813313532485004
3.27;0.16026702244928387;-4.978618430052811
3.2800000000000002;0.10986344750090507;-5.093618077779033
3.29;0.058565557472453914;-5.1573665516684075
3.3000000000000003;0.0068884502379911;-5.16943276530127
3.31;-0.044651051073615944;-5.129902713959784
3.3200000000000003;-0.0955395586963756;-5.039376552866006
3.33;-0.14527222584828722;-4.898960559862854
3.34;-0.19335774680362033;-4.710254083584566
3.35;-0.2393232020062102;-4.475331626882918
3.36;-0.28271870048372594;-4.196720263623381
3.37;-0.3231217739388408;-3.8773726339694137
3.38;-0.3601414797079591;-3.520635805811135
3.39;-0.39342217549691927;-3.130216308900594
3.4;-0.42264692161987655;-2.7101417566124155
3.41;-0.447540489151028;-2.26471939146045
3.42;-0.46787193644258634;-1.7984920268950682
3.43;-0.4834567361495895;-1.3161918028220077
3.44;-0.4941584298008804;-0.822692241976738
3.45;-0.4998897966171569;-0.3229590881461756
3.46;-0.5006135267182437;0.1779995790960155
3.47;-0.4963423938584517;0.6751834764826645
3.48;-0.4871389275541131;1.1636498646374305
3.49;-0.4731145923757421;1.6385627122504138
3.5;-0.4544284797273233;2.0952404249754952
3.5100000000000002;-0.431285532115791;2.52920194062036
3.52;-0.40393431605234553;2.9362106023381527
3.5300000000000002;-0.3726643694731809;3.312315433194705
3.54;-0.33780315090235885;3.653889392245335
3.5500000000000003;-0.29971262278853145;3.957664249835371
3.56;-0.25878550508364156;4.220761739841825
3.5700000000000003;-0.2154412353337117;4.440720714237054
3.58;-0.17012167562312705;4.615520049053071
3.59;-0.12328662718093233;4.743596938704977
3.6;-0.07540916581848202;4.823860757750368
3.61;-0.026970873471033573;4.855702008193282
3.62;0.021542998079918718;4.83899647640063
3.63;0.06964838134342724;4.774104550490207
3.64;0.11686721382609677;4.661865674380372
3.65;0.16273218205260395;4.503588072207053
3.66;0.20679133836352623;4.301033830092795
3.67;0.24861254627947352;4.056399509745165
3.68;0.28778771066992126;3.7722925216140175
3.69;0.323936751139115;3.4517034753059295
3.7;0.35671128013466635;3.097974827169967
3.71;0.3857979504168934;2.7147661513398362
3.72;0.4109214401406716;2.3060163800618594
3.73;0.4318470462041901;1.8759034090460271
3.74;0.4483828624155714;1.4288014831561204
3.75;0.4603815222992886;0.9692367934232724
